fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2023-06-30 12:07:00,2023-06-30 12:14:00,LARGO,-0.585,-1.175,0.498,PERDEDOR
2023-06-30 12:27:00,2023-06-30 13:03:00,LARGO,-0.368,-0.736,0.5,PERDEDOR
2023-07-03 19:31:00,2023-07-03 20:15:00,LARGO,-0.249,-0.497,0.5,PERDEDOR
2023-07-06 09:01:00,2023-07-06 09:39:00,LARGO,-0.348,-0.696,0.499,PERDEDOR
2023-07-06 14:32:00,2023-07-06 14:42:00,CORTO,0.229,0.458,0.5,GANADOR
2023-07-06 22:04:00,2023-07-06 23:26:00,CORTO,0.417,0.833,0.501,GANADOR
2023-07-07 00:02:00,2023-07-07 00:11:00,CORTO,-0.164,-0.326,0.502,PERDEDOR
2023-09-01 15:04:00,2023-09-01 15:07:00,CORTO,-0.22,-0.439,0.502,PERDEDOR
2023-09-01 17:11:00,2023-09-01 17:47:00,CORTO,0.764,1.532,0.499,GANADOR
2023-09-01 18:09:00,2023-09-01 18:40:00,CORTO,0.33,0.664,0.497,GANADOR
2023-09-07 21:07:00,2023-09-07 21:11:00,LARGO,0.229,0.456,0.502,GANADOR
2023-09-07 21:17:00,2023-09-07 21:26:00,LARGO,0.501,0.999,0.502,GANADOR
2023-09-07 22:31:00,2023-09-07 23:10:00,LARGO,0.563,1.116,0.505,GANADOR
2023-09-11 14:11:00,2023-09-11 14:13:00,CORTO,0.023,0.045,0.5,GANADOR
2023-09-11 14:16:00,2023-09-11 14:31:00,CORTO,-0.19,-0.38,0.5,PERDEDOR
2023-09-11 14:46:00,2023-09-11 14:51:00,CORTO,0.918,1.855,0.495,GANADOR
2023-09-12 16:31:00,2023-09-12 16:40:00,LARGO,-0.596,-1.201,0.496,PERDEDOR
2023-09-14 01:04:00,2023-09-14 01:08:00,LARGO,-0.574,-1.156,0.497,PERDEDOR
2023-09-14 12:16:00,2023-09-14 12:30:00,LARGO,-0.598,-1.201,0.498,PERDEDOR
2023-09-14 13:11:00,2023-09-14 13:22:00,LARGO,0.207,0.415,0.5,GANADOR
2023-09-15 23:07:00,2023-09-15 23:16:00,LARGO,-0.598,-1.201,0.498,PERDEDOR
2023-09-18 09:37:00,2023-09-18 13:25:00,LARGO,1.425,2.853,0.499,GANADOR
