date,entry_time,exit_time,direction,entry,exit,so,stop_level,band_upper,band_lower,atr14,n,pnl,equity,reason,period
2023-03-14,11:30,14:10,LONG,12207.0,12098.25,12076.75,12076.75,12192.59,11960.91,231.68,7,-1526.84,66127.54,STOP,OOS
2023-03-15,14:35,15:25,LONG,12235.0,12257.5,12088.0,12088.0,12208.72,11967.28,241.45,5,221.9,66349.44,EOD,OOS
2023-03-16,11:00,15:25,LONG,12379.25,12593.0,12219.5,12219.5,12340.9,12098.1,242.8,5,2134.4,68483.84,EOD,OOS
2023-03-22,14:50,15:00,LONG,13003.5,12872.25,12872.5,12872.5,13000.57,12744.43,256.14,9,-2368.08,66115.76,STOP,OOS
2023-03-23,10:55,14:25,LONG,12996.25,12854.75,12855.0,12855.0,12991.31,12718.69,272.62,6,-1701.72,64414.04,STOP,OOS
2023-03-31,12:35,15:25,LONG,13228.0,13297.0,13092.0,13092.0,13222.71,12961.29,261.41,7,961.66,65375.7,EOD,OOS
2023-04-05,11:00,15:25,SHORT,13031.75,13054.75,13174.0,13174.0,13289.72,13058.28,231.45,8,-372.96,65002.74,EOD,OOS
2023-04-06,12:05,15:25,LONG,13137.5,13173.75,13012.25,13012.25,13126.76,12897.74,229.02,7,503.16,65505.9,EOD,OOS
2023-04-12,11:15,15:25,SHORT,12999.5,12951.5,13156.75,13156.75,13262.72,13050.78,211.95,12,1144.56,66650.46,EOD,OOS
2023-04-13,10:20,15:25,LONG,13130.0,13219.0,13028.0,13028.0,13128.88,12927.12,201.75,11,1951.18,68601.64,EOD,OOS
2023-04-14,10:05,10:20,LONG,13178.0,13139.0,13139.25,13139.25,13237.88,13040.62,197.27,7,-550.34,68051.3,STOP,OOS
2023-04-18,10:35,15:25,SHORT,13177.0,13172.75,13280.25,13280.25,13377.4,13183.1,194.3,8,63.04,68114.34,EOD,OOS
2023-04-19,12:20,15:25,LONG,13183.25,13202.0,13085.25,13085.25,13182.21,12988.29,193.91,8,295.04,68409.38,EOD,OOS
2023-04-20,12:35,15:15,LONG,13150.75,13051.25,13051.5,13051.5,13144.47,12958.53,185.95,10,-1996.2,66413.18,STOP,OOS
2023-04-24,11:55,15:25,SHORT,12978.75,13050.0,13077.5,13077.5,13168.34,12986.66,181.68,16,-2289.92,64123.26,EOD,OOS
2023-04-25,12:40,15:25,SHORT,12903.75,12842.5,12988.5,12988.5,13080.04,12896.96,183.09,15,1828.2,65951.46,EOD,OOS
2023-04-27,11:35,15:25,LONG,13131.0,13240.0,13040.75,13040.75,13135.22,12946.28,188.95,8,1739.04,67690.5,EOD,OOS
2023-05-02,10:40,15:25,SHORT,13172.25,13201.0,13301.0,13301.0,13398.04,13203.96,194.09,5,-290.6,67399.9,EOD,OOS
2023-05-05,10:20,15:25,LONG,13230.25,13340.75,13139.0,13139.0,13230.25,13047.75,182.5,12,2644.56,70044.46,EOD,OOS
2023-05-12,12:55,15:25,SHORT,13327.5,13359.75,13467.75,13467.75,13561.54,13373.96,187.59,8,-520.96,69523.5,EOD,OOS
2023-05-16,12:00,15:25,LONG,13536.75,13536.5,13436.25,13436.25,13525.93,13346.57,179.36,12,-13.44,69510.06,EOD,OOS
2023-05-17,13:10,15:25,LONG,13622.75,13638.0,13525.0,13525.0,13611.68,13438.32,173.36,13,388.44,69898.5,EOD,OOS
2023-05-18,10:35,15:25,LONG,13787.0,13846.25,13653.75,13653.75,13734.12,13573.38,160.73,15,1768.2,71666.7,EOD,OOS
2023-05-23,14:40,15:25,SHORT,13732.0,13738.75,13831.25,13831.25,13912.05,13750.45,161.61,11,-155.32,71511.38,EOD,OOS
2023-05-25,09:50,11:10,SHORT,13878.75,13955.0,13954.75,13954.75,14035.74,13873.76,161.98,8,-1224.96,70286.42,STOP,OOS
2023-05-26,10:55,15:25,LONG,14255.25,14346.5,14018.0,14018.0,14101.39,13934.61,166.79,6,1091.28,71377.7,EOD,OOS
2023-05-30,12:45,15:25,SHORT,14423.5,14416.5,14510.0,14510.0,14603.3,14416.7,186.61,5,66.9,71444.6,EOD,OOS
2023-06-01,11:35,15:25,LONG,14388.0,14483.25,14298.25,14298.25,14394.97,14201.53,193.45,6,1139.28,72583.88,EOD,OOS
2023-06-05,11:35,14:30,LONG,14679.0,14568.25,14568.5,14568.5,14670.45,14466.55,203.89,8,-1776.96,70806.92,STOP,OOS
2023-06-07,10:55,15:25,SHORT,14474.25,14355.75,14592.0,14592.0,14694.77,14489.23,205.54,12,2836.56,73643.48,EOD,OOS
2023-06-08,11:10,15:25,LONG,14477.0,14488.25,14337.75,14337.75,14446.79,14228.71,218.09,8,175.04,73818.52,EOD,OOS
2023-06-09,10:20,10:55,LONG,14672.0,14589.0,14561.75,14561.75,14668.62,14454.88,213.75,8,-1332.96,72485.56,STOP,OOS
2023-06-12,15:15,15:25,LONG,14769.5,14769.5,14622.75,14622.75,14732.38,14513.12,219.27,8,-4.96,72480.6,EOD,OOS
2023-06-15,10:50,15:25,LONG,15075.75,15223.0,14958.0,14958.0,15074.89,14841.11,233.79,12,3526.56,76007.16,EOD,OOS
2023-06-21,10:50,15:25,SHORT,15053.75,15096.5,15201.75,15201.75,15309.22,15094.28,214.95,16,-1377.92,74629.24,EOD,OOS
2023-06-22,10:05,15:25,LONG,15079.25,15160.25,14981.75,14981.75,15090.11,14873.39,216.71,9,1452.42,76081.66,EOD,OOS
2023-06-26,12:20,15:25,SHORT,14930.75,14922.0,15036.0,15036.0,15146.03,14925.97,220.05,8,135.04,76216.7,EOD,OOS
2023-06-27,12:50,15:25,LONG,15060.5,15138.25,14917.75,14917.75,15032.81,14802.69,230.12,8,1239.04,77455.74,EOD,OOS
2023-06-28,10:40,15:25,LONG,15182.75,15104.75,15029.5,15029.5,15149.22,14909.78,239.45,7,-1096.34,76359.4,EOD,OOS
2023-07-05,10:40,15:25,LONG,15407.25,15385.5,15294.0,15294.0,15410.09,15177.91,232.18,8,-352.96,76006.44,EOD,OOS
2023-07-07,13:15,15:25,LONG,15343.75,15250.5,15220.75,15220.75,15334.93,15106.57,228.36,11,-2058.32,73948.12,EOD,OOS
2023-07-13,15:15,15:25,LONG,15709.0,15718.0,15576.0,15576.0,15684.68,15467.32,217.36,12,208.56,74156.68,EOD,OOS
2023-07-14,10:20,14:25,LONG,15842.5,15721.25,15721.5,15721.5,15831.54,15611.46,220.07,11,-2674.32,71482.36,STOP,OOS
2023-07-17,15:05,15:25,LONG,15836.5,15868.5,15729.75,15729.75,15837.84,15621.66,216.18,12,760.56,72242.92,EOD,OOS
2023-07-18,13:20,15:25,LONG,15922.25,16008.5,15815.0,15815.0,15921.48,15708.52,212.96,13,2234.44,74477.36,EOD,OOS
2023-07-20,10:40,15:25,SHORT,15726.75,15552.75,15833.75,15833.75,15935.49,15732.01,203.48,13,4515.94,78993.3,EOD,OOS
2023-07-21,10:40,15:25,SHORT,15571.25,15551.5,15688.0,15688.0,15797.47,15578.53,218.95,8,311.04,79304.34,EOD,OOS
2023-07-25,13:05,15:25,LONG,15689.25,15701.5,15588.75,15588.75,15696.13,15481.37,214.77,8,191.04,79495.38,EOD,OOS
2023-07-27,13:40,15:25,SHORT,15739.75,15571.75,15835.25,15835.25,15941.0,15729.5,211.5,9,3018.42,82513.8,EOD,OOS
2023-07-28,11:25,15:25,LONG,15864.0,15844.25,15738.0,15738.0,15851.03,15624.97,226.05,16,-641.92,81871.88,EOD,OOS
2023-08-02,10:20,15:25,SHORT,15554.75,15435.25,15667.75,15667.75,15780.74,15554.76,225.98,11,2622.18,84494.06,EOD,OOS
2023-08-03,12:50,15:25,LONG,15508.0,15440.5,15358.25,15358.25,15475.32,15241.18,234.14,7,-949.34,83544.72,EOD,OOS
2023-08-04,15:00,15:25,SHORT,15378.5,15378.25,15511.75,15511.75,15627.87,15395.63,232.23,7,-0.84,83543.88,EOD,OOS
2023-08-08,10:25,15:25,SHORT,15285.0,15333.0,15379.25,15379.25,15493.57,15264.93,228.64,9,-869.58,82674.3,EOD,OOS
2023-08-09,11:25,15:25,SHORT,15171.0,15249.25,15360.75,15360.75,15479.3,15242.2,237.11,9,-1414.08,81260.22,EOD,OOS
2023-08-10,10:05,11:00,LONG,15425.0,15301.0,15301.25,15301.25,15413.17,15189.33,223.84,13,-3232.06,78028.16,STOP,OOS
2023-08-10,14:00,15:25,SHORT,15170.25,15205.5,15301.25,15301.25,15413.17,15189.33,223.84,13,-924.56,77103.6,EOD,OOS
2023-08-14,10:55,15:25,LONG,15230.25,15223.75,15068.0,15068.0,15184.86,14951.14,233.71,11,-149.82,76953.78,EOD,OOS
2023-08-17,10:35,15:25,SHORT,14873.5,14795.0,14994.25,14994.25,15107.79,14880.71,227.07,9,1407.42,78361.2,EOD,OOS
2023-08-18,14:40,15:25,LONG,14760.25,14754.5,14632.0,14632.0,14742.83,14521.17,221.66,10,-121.2,78240.0,EOD,OOS
2023-08-21,13:45,15:25,LONG,14956.75,14989.5,14808.5,14808.5,14922.5,14694.5,228.0,10,648.8,78888.8,EOD,OOS
2023-08-22,12:20,15:25,SHORT,14949.5,14970.25,15091.75,15091.75,15210.34,14973.16,237.18,8,-336.96,78551.84,EOD,OOS
2023-08-23,10:25,15:25,LONG,15127.5,15227.25,15008.75,15008.75,15118.69,14898.81,219.88,9,1789.92,80341.76,EOD,OOS
2023-08-24,09:50,15:25,SHORT,15217.75,14922.5,15335.25,15335.25,15449.1,15221.4,227.7,8,4719.04,85060.8,EOD,OOS
